Exam1,Exam2,Exam3,Exam4,Exam5,Pass
1.00,0.96,0.50,0.44,0.65,0
1.00,0.85,0.70,NA,NA,0
1.00,0.76,0.53,0.55,NA,0
1.00,0.57,0.64,0.61,0.70,0
0.99,NA,NA,NA,NA,0
0.99,0.70,0.52,0.37,NA,0
0.96,0.34,0.30,0.62,0.79,0
0.95,0.67,0.52,0.59,0.33,0
0.93,0.80,0.73,0.66,NA,0
0.90,0.74,0.76,0.61,0.48,0
0.87,0.67,0.72,0.72,0.56,0
0.85,0.80,0.60,0.57,0.25,0
0.84,0.60,0.71,0.25,NA,0
0.83,0.81,0.61,0.75,0.37,0
0.83,0.75,0.42,0.54,0.55,0
0.81,0.85,0.80,NA,NA,0
0.81,0.72,0.71,0.61,0.27,0
0.80,NA,NA,NA,NA,0
0.80,0.70,0.69,0.60,0.54,0
0.78,0.73,0.37,0.63,0.35,0
0.77,0.71,0.37,0.56,0.40,0
0.76,0.73,0.77,0.55,NA,0
0.75,0.88,0.54,0.58,NA,0
0.75,0.85,0.22,NA,NA,0
0.71,0.84,0.74,0.83,0.65,0
0.70,0.70,0.57,0.64,0.24,0
0.70,0.60,0.45,0.54,0.51,0
0.69,0.82,0.43,0.57,0.19,0
0.69,0.47,0.79,0.54,0.33,0
0.68,0.42,0.55,0.21,NA,0
0.63,0.70,0.80,0.62,0.50,0
0.62,0.69,0.38,0.63,0.72,0
0.60,0.81,1.00,0.75,0.56,0
0.60,0.72,0.42,0.37,0.11,0
0.60,0.68,0.65,NA,0.16,0
0.58,0.73,0.72,0.84,0.60,0
0.57,NA,0.81,0.94,1.00,0
0.57,0.43,0.54,NA,NA,0
0.54,0.50,0.67,0.81,0.83,0
0.51,0.50,0.48,0.77,0.69,0
0.50,0.82,0.69,0.72,0.72,0
0.50,0.74,0.62,0.17,NA,0
0.50,0.68,0.72,0.72,0.60,0
0.50,0.59,0.37,0.17,0.42,0
0.46,0.77,0.78,0.93,0.97,0
0.44,0.59,0.88,0.87,0.98,0
0.41,0.94,0.30,0.87,0.55,0
0.39,0.94,0.86,0.70,0.25,0
0.38,0.76,0.97,0.99,1.00,0
0.37,0.77,0.48,0.79,0.71,0
0.36,0.57,0.59,0.52,0.54,0
0.30,0.72,0.75,0.69,NA,0
0.30,0.70,0.20,0.46,0.21,0
0.27,0.58,0.48,NA,0.66,0
0.18,0.68,0.77,0.30,NA,0
0.14,0.53,NA,NA,NA,0
0.12,0.63,1.00,1.00,NA,0
1.00,1.00,1.00,1.00,1.00,1
1.00,1.00,0.99,0.99,0.96,1
1.00,1.00,0.98,0.96,1.00,1
1.00,1.00,0.97,0.99,0.99,1
1.00,1.00,0.93,0.95,0.88,1
1.00,1.00,0.87,1.00,0.93,1
1.00,1.00,0.80,0.91,0.72,1
1.00,1.00,0.77,0.78,0.78,1
1.00,0.99,0.98,0.96,0.89,1
1.00,0.97,0.82,0.90,0.98,1
1.00,0.94,0.95,0.87,0.91,1
1.00,0.94,0.73,0.70,0.66,1
1.00,0.93,0.91,0.63,0.91,1
1.00,0.88,0.95,0.83,0.97,1
1.00,0.85,0.74,0.72,0.85,1
1.00,0.84,0.87,0.65,0.68,1
1.00,0.84,0.80,0.92,0.73,1
1.00,0.72,0.74,0.62,0.66,1
0.99,1.00,1.00,0.97,0.89,1
0.99,0.99,1.00,0.84,0.87,1
0.99,0.99,1.00,0.86,0.84,1
0.99,0.99,0.99,1.00,0.99,1
0.99,0.99,0.91,0.87,0.87,1
0.99,0.99,0.88,0.91,0.85,1
0.99,0.99,0.87,0.90,0.86,1
0.99,0.97,0.99,0.97,0.94,1
0.99,0.97,0.95,0.96,0.95,1
0.99,0.97,0.95,0.97,0.83,1
0.99,0.94,0.90,0.93,0.90,1
0.99,0.84,0.93,0.87,0.95,1
0.98,0.99,0.93,0.92,0.83,1
0.98,0.94,0.85,0.78,0.62,1
0.98,0.97,1.00,0.89,0.91,1
0.97,NA,1.00,1.00,0.99,1
0.97,1.00,0.99,1.00,0.99,1
0.97,0.99,0.91,0.93,0.97,1
0.97,0.99,0.89,0.89,0.83,1
0.97,0.99,0.81,0.85,0.70,1
0.97,0.98,0.82,0.86,0.54,1
0.97,0.94,0.95,0.85,0.84,1
0.97,0.88,0.87,0.66,0.66,1
0.96,1.00,0.98,0.99,0.84,1
0.96,0.99,1.00,1.00,0.99,1
0.96,0.93,0.89,0.87,0.88,1
0.96,0.90,0.88,0.94,0.85,1
0.96,0.88,0.88,0.89,0.79,1
0.96,0.84,0.96,0.89,0.78,1
0.96,0.78,0.77,0.76,0.85,1
0.96,0.89,0.90,0.77,0.49,1
0.96,0.67,0.84,0.65,0.76,1
0.95,1.00,0.99,0.99,0.96,1
0.95,0.98,0.93,0.96,0.90,1
0.95,0.96,0.94,0.99,1.00,1
0.95,0.94,0.68,0.74,0.62,1
0.95,0.93,0.82,0.87,0.94,1
0.95,0.90,0.92,0.85,0.78,1
0.95,0.90,0.77,0.60,0.75,1
0.95,0.84,0.90,0.88,0.70,1
0.95,0.82,0.95,1.00,0.99,1
0.95,0.78,0.95,0.92,0.97,1
0.94,0.99,0.99,1.00,1.00,1
0.94,0.90,0.90,0.89,0.85,1
0.93,1.00,0.99,0.99,0.99,1
0.93,0.99,1.00,0.99,0.91,1
0.93,0.96,0.99,1.00,1.00,1
0.93,0.92,0.78,0.85,0.69,1
0.93,0.91,0.77,0.75,0.69,1
0.93,0.89,0.74,0.76,0.64,1
0.93,0.89,0.70,0.67,0.56,1
0.93,0.86,0.80,0.51,0.53,1
0.93,0.77,0.50,0.54,0.36,1
0.93,0.72,0.56,0.69,0.66,1
0.92,0.93,0.78,0.79,0.72,1
0.91,1.00,0.99,0.99,0.99,1
0.91,1.00,0.75,0.82,0.59,1
0.91,0.95,NA,0.99,0.92,1
0.91,0.95,0.98,0.79,0.77,1
0.91,0.95,0.90,0.95,0.74,1
0.91,0.86,0.85,0.97,0.96,1
0.91,0.77,0.87,0.81,0.68,1
0.90,0.96,0.99,0.99,0.99,1
0.90,0.96,0.83,0.61,0.84,1
0.90,0.88,0.73,0.74,0.72,1
0.89,0.95,0.88,0.94,0.79,1
0.89,0.57,0.68,0.79,0.69,1
0.88,0.84,0.94,0.99,0.84,1
0.87,0.92,0.97,0.99,0.99,1
0.87,0.92,0.88,0.81,0.85,1
0.87,0.69,0.77,0.60,0.47,1
0.86,0.93,0.93,0.91,0.81,1
0.86,1.00,0.96,1.00,0.87,1
0.86,1.00,0.94,1.00,1.00,1
0.86,1.00,0.87,0.96,1.00,1
0.86,0.92,0.73,0.66,0.60,1
0.86,0.91,0.96,0.91,0.81,1
0.86,0.91,0.70,0.93,0.75,1
0.85,1.00,0.95,0.99,0.93,1
0.85,0.92,0.74,0.82,0.88,1
0.85,0.84,0.84,0.93,0.65,1
0.85,0.81,0.90,0.94,0.81,1
0.84,0.86,0.88,0.69,0.80,1
0.84,0.92,0.71,0.65,0.59,1
0.84,0.83,0.79,0.83,0.86,1
0.84,0.60,0.60,0.76,0.72,1
0.83,0.99,1.00,NA,0.99,1
0.83,0.98,0.99,0.94,0.74,1
0.83,0.81,0.63,0.62,0.74,1
0.83,0.96,0.87,0.94,0.85,1
0.83,0.90,0.83,0.93,0.93,1
0.83,0.86,0.88,0.92,0.89,1
0.83,0.80,0.92,0.76,0.86,1
0.81,0.91,0.88,0.63,0.63,1
0.80,0.87,0.69,0.67,0.53,1
0.79,0.85,0.87,0.88,0.64,1
0.78,0.87,0.77,0.82,0.75,1
0.78,0.77,0.70,0.84,0.65,1
0.77,0.73,0.65,0.71,0.75,1
0.76,0.85,0.86,0.99,0.87,1
0.75,0.87,0.79,0.91,0.84,1
0.73,0.91,0.85,0.89,0.70,1
0.73,0.89,0.95,NA,0.87,1
0.71,1.00,0.80,1.00,0.94,1
0.71,1.00,0.79,0.80,0.80,1
0.71,1.00,0.76,0.83,0.71,1
0.70,0.95,0.88,0.86,0.94,1
0.69,0.85,0.85,0.98,0.74,1
0.69,1.00,0.93,0.94,0.76,1
0.68,0.98,0.80,0.86,0.92,1
0.67,0.95,0.83,0.72,0.96,1
0.65,0.69,0.97,0.87,0.91,1
0.63,0.97,0.81,0.92,0.75,1
0.63,0.94,0.95,1.00,0.97,1
0.61,0.88,0.97,0.91,0.90,1
0.60,0.77,0.88,0.98,0.99,1
0.57,1.00,0.90,0.98,0.92,1
0.48,0.73,0.95,0.94,0.82,1
0.45,0.97,0.84,0.92,0.83,1
0.44,0.96,0.99,0.99,1.00,1
0.43,0.82,0.97,1.00,0.99,1
NA,0.99,1.00,0.99,0.99,1
NA,0.85,0.75,0.65,0.63,1
